# t,x,y,z,vx,vy,vz,ax,ay,az
0.000000,-21.552050,4.242690,1.002486,-0.000000,0.020000,0.000000,-0.000040,-0.000000,0.000000
0.010000,-21.552050,4.242890,1.002486,-0.000001,0.040000,0.000000,-0.000160,-0.000000,0.000000
0.020000,-21.552050,4.243290,1.002486,-0.000004,0.060000,0.000000,-0.000360,-0.000000,0.000000
0.030000,-21.552050,4.243890,1.002486,-0.000010,0.080000,0.000000,-0.000640,-0.000000,0.000000
0.040000,-21.552050,4.244690,1.002486,-0.000020,0.100000,0.000000,-0.001000,-0.000000,0.000000
0.050000,-21.552050,4.245690,1.002486,-0.000036,0.120000,0.000000,-0.001440,-0.000000,0.000000
0.060000,-21.552050,4.246890,1.002486,-0.000059,0.140000,0.000000,-0.001960,-0.000001,0.000000
0.070000,-21.552051,4.248290,1.002486,-0.000090,0.160000,0.000000,-0.002560,-0.000001,0.000000
0.080000,-21.552052,4.249890,1.002486,-0.000130,0.180000,0.000000,-0.003240,-0.000002,0.000000
0.090000,-21.552054,4.251690,1.002486,-0.000180,0.200000,0.000000,-0.004000,-0.000004,0.000000
0.100000,-21.552056,4.253690,1.002486,-0.000242,0.220000,0.000000,-0.004840,-0.000005,0.000000
0.110000,-21.552058,4.255890,1.002486,-0.000317,0.240000,0.000000,-0.005760,-0.000008,0.000000
0.120000,-21.552062,4.258290,1.002486,-0.000406,0.260000,0.000000,-0.006760,-0.000011,0.000000
0.130000,-21.552066,4.260890,1.002486,-0.000510,0.280000,0.000000,-0.007840,-0.000014,0.000000
0.140000,-21.552072,4.263690,1.002486,-0.000630,0.299999,0.000000,-0.009000,-0.000019,0.000000
0.150000,-21.552078,4.266690,1.002486,-0.000768,0.319999,0.000000,-0.010240,-0.000025,0.000000
0.160000,-21.552087,4.269890,1.002486,-0.000925,0.339999,0.000000,-0.011560,-0.000031,0.000000
0.170000,-21.552096,4.273290,1.002486,-0.001102,0.359998,0.000000,-0.012960,-0.000040,0.000000
0.180000,-21.552108,4.276890,1.002486,-0.001300,0.379998,0.000000,-0.014440,-0.000049,0.000000
0.190000,-21.552122,4.280690,1.002486,-0.001520,0.399997,0.000000,-0.016000,-0.000061,0.000000
0.200000,-21.552138,4.284690,1.002486,-0.001764,0.419996,0.000000,-0.017640,-0.000074,0.000000
0.210000,-21.552156,4.288890,1.002486,-0.002033,0.439995,0.000000,-0.019360,-0.000089,0.000000
0.220000,-21.552178,4.293290,1.002486,-0.002328,0.459994,0.000000,-0.021160,-0.000107,0.000000
0.230000,-21.552202,4.297890,1.002486,-0.002650,0.479993,0.000000,-0.023040,-0.000127,0.000000
0.240000,-21.552230,4.302690,1.002486,-0.003000,0.499991,0.000000,-0.025000,-0.000150,0.000000
0.250000,-21.552261,4.307689,1.002486,-0.003380,0.519989,0.000000,-0.027039,-0.000176,0.000000
0.260000,-21.552296,4.312889,1.002486,-0.003791,0.539987,0.000000,-0.029159,-0.000205,0.000000
0.270000,-21.552335,4.318289,1.002486,-0.004234,0.559984,0.000000,-0.031359,-0.000237,0.000000
0.280000,-21.552379,4.323889,1.002486,-0.004710,0.579981,0.000000,-0.033639,-0.000273,0.000000
0.290000,-21.552428,4.329689,1.002486,-0.005220,0.599977,0.000000,-0.035999,-0.000313,0.000000
0.300000,-21.552482,4.335689,1.002486,-0.005766,0.619973,0.000000,-0.038438,-0.000357,0.000000
0.310000,-21.552542,4.341888,1.002486,-0.006349,0.639969,0.000000,-0.040958,-0.000406,0.000000
0.320000,-21.552607,4.348288,1.002486,-0.006969,0.659963,0.000000,-0.043558,-0.000460,0.000000
0.330000,-21.552679,4.354888,1.002486,-0.007629,0.679957,0.000000,-0.046237,-0.000519,0.000000
0.340000,-21.552758,4.361687,1.002486,-0.008330,0.699950,0.000000,-0.048997,-0.000583,0.000000
0.350000,-21.552843,4.368687,1.002486,-0.009072,0.719943,0.000000,-0.051836,-0.000653,0.000000
0.360000,-21.552937,4.375886,1.002486,-0.009857,0.739934,0.000000,-0.054755,-0.000729,0.000000
0.370000,-21.553038,4.383285,1.002486,-0.010685,0.759925,0.000000,-0.057754,-0.000812,0.000000
0.380000,-21.553148,4.390884,1.002486,-0.011559,0.779914,0.000000,-0.060833,-0.000902,0.000000
0.390000,-21.553266,4.398684,1.002486,-0.012479,0.799903,0.000000,-0.063992,-0.000998,0.000000
0.400000,-21.553394,4.406683,1.002486,-0.013447,0.819890,0.000000,-0.067231,-0.001103,0.000000
0.410000,-21.553532,4.414881,1.002486,-0.014464,0.839875,0.000000,-0.070550,-0.001215,0.000000
0.420000,-21.553680,4.423280,1.002486,-0.015531,0.859860,0.000000,-0.073948,-0.001336,0.000000
0.430000,-21.553839,4.431879,1.002486,-0.016649,0.879842,0.000000,-0.077426,-0.001465,0.000000
