# t,x,y,z,vx,vy,vz,ax,ay,az
0.000000,0.000000,0.000000,0.000000,-0.000000,0.003333,0.000000,-0.000000,-0.000000,0.000000
0.010000,-0.000000,0.000033,0.000000,-0.000000,0.006667,0.000000,-0.000001,-0.000000,0.000000
0.020000,-0.000000,0.000100,0.000000,-0.000000,0.010000,0.000000,-0.000002,-0.000000,0.000000
0.030000,-0.000000,0.000200,0.000000,-0.000000,0.013333,0.000000,-0.000004,-0.000000,0.000000
0.040000,-0.000000,0.000333,0.000000,-0.000000,0.016667,0.000000,-0.000006,-0.000000,0.000000
0.050000,-0.000000,0.000500,0.000000,-0.000000,0.020000,0.000000,-0.000008,-0.000000,0.000000
0.060000,-0.000000,0.000700,0.000000,-0.000000,0.023333,0.000000,-0.000011,-0.000000,0.000000
0.070000,-0.000000,0.000933,0.000000,-0.000000,0.026667,0.000000,-0.000014,-0.000000,0.000000
0.080000,-0.000000,0.001200,0.000000,-0.000001,0.030000,0.000000,-0.000018,-0.000000,0.000000
0.090000,-0.000000,0.001500,0.000000,-0.000001,0.033333,0.000000,-0.000022,-0.000000,0.000000
0.100000,-0.000000,0.001833,0.000000,-0.000001,0.036667,0.000000,-0.000027,-0.000000,0.000000
0.110000,-0.000000,0.002200,0.000000,-0.000002,0.040000,0.000000,-0.000032,-0.000000,0.000000
0.120000,-0.000000,0.002600,0.000000,-0.000002,0.043333,0.000000,-0.000038,-0.000000,0.000000
0.130000,-0.000000,0.003033,0.000000,-0.000003,0.046667,0.000000,-0.000044,-0.000000,0.000000
0.140000,-0.000000,0.003500,0.000000,-0.000003,0.050000,0.000000,-0.000050,-0.000000,0.000000
0.150000,-0.000000,0.004000,0.000000,-0.000004,0.053333,0.000000,-0.000057,-0.000000,0.000000
0.160000,-0.000000,0.004533,0.000000,-0.000005,0.056667,0.000000,-0.000064,-0.000000,0.000000
0.170000,-0.000000,0.005100,0.000000,-0.000006,0.060000,0.000000,-0.000072,-0.000000,0.000000
0.180000,-0.000000,0.005700,0.000000,-0.000007,0.063333,0.000000,-0.000080,-0.000000,0.000000
0.190000,-0.000000,0.006333,0.000000,-0.000008,0.066667,0.000000,-0.000089,-0.000000,0.000000
0.200000,-0.000000,0.007000,0.000000,-0.000010,0.070000,0.000000,-0.000098,-0.000000,0.000000
