Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.99574,0,0,0,0,8.5297,-10.0036,4.05872,-0.567529,0,0,0,0,-1.2978,1.52701,-0.618162,0.0861582,0,0,0,0,13.8624,-14.9293,5.76025,-0.779008,0,0,0,0,0,0,0,0
2.24883,3.48332,-2.29431,-2.86103,-0.213265,-5.33902,6.61018,-2.54654,0.327508,-0.436708,0.53875,0.553124,0.0240439,0.997356,-1.24331,0.480039,-0.0617445,12.9795,6.25365,-2.66374,-0.741221,-3.97873,4.15213,-1.41886,0.167105,0,0,0,0,0,0,0,0
2.44596,-9.04584,1.75516,4.09327,-0.00809148,6.41128,-7.0505,2.48118,-0.293013,1.97368,-0.476205,-0.838846,0.0360429,-1.18095,1.34046,-0.478113,0.056899,7.28116,-5.34561,1.33131,0.304617,1.6737,-1.49355,0.450744,-0.0473961,0,0,0,0,0,0,0,0
2.21123,9.6825,-0.763868,-4.13735,-5.59652e-05,-7.11931,8.67565,-3.37619,0.440528,-1.1779,0.978577,1.10273,0.0286411,2.12758,-2.60288,1.01113,-0.13176,7.47427,3.0343,-0.0493792,-0.131746,-0.578745,0.550086,-0.178185,0.0200683,0,0,0,0,0,0,0,0
2.04692,-4.59894,-0.307948,3.31543,-0.212229,4.51147,-5.32932,2.09276,-0.280092,4.09136,0.0511259,-1.38004,-0.0287004,-3.88276,4.29974,-1.65031,0.219636,12.12,1.51294,-0.0478795,-0.0919707,3.00173,-4.13088,1.81755,-0.265008,0,0,0,0,0,0,0,0
1.23411,6.29826,4.57496,-1.9146,0.302866,2.98238,-11.4929,10.0384,-2.68026,-3.80667,-4.47391,0.764223,0.212481,0.408664,3.34203,-3.95549,1.17628,12.2727,-4.03107,-0.800183,0.335766,-4.98768,13.2965,-10.1659,2.51201,0,0,0,0,0,0,0,0
1.89894,7.3934,-3.50409,-1.40841,-0.257401,-5.40743,7.48669,-3.3659,0.510374,-6.09525,1.36672,1.18661,-0.0655897,4.72287,-6.83207,3.1646,-0.489408,8.24183,-0.244912,2.08024,0.0110162,9.7842,-13.4025,6.03176,-0.91586,0,0,0,0,0,0,0,0
1.72135,-3.93304,-4.14869,0.925079,-0.0502292,2.55405,-2.57713,0.952877,-0.124755,-2.14836,-1.45633,-1.36338,0.106889,-5.1098,7.73759,-3.82899,0.638942,12.9172,-2.58812,-2.34165,0.277914,-4.07129,7.0134,-3.59403,0.60712,0,0,0,0,0,0,0,0
2.47374,-5.91151,1.25142,0.522805,0.0401214,-0.675543,0.751874,-0.276274,0.0335937,-7.0724,-0.631553,1.51969,-0.0594679,2.115,-2.18692,0.742124,-0.085161,6.87917,1.2964,3.79418,-0.00657771,7.50747,-8.16923,2.87478,-0.339038,0,0,0,0,0,0,0,0
1.80528,1.07706,4.77894,0.000217731,-0.248377,0.346554,-1.53631,1.04084,-0.200837,-1.83339,0.265156,-1.12854,0.108764,-1.38592,2.41471,-1.25251,0.211394,24.1625,-1.05566,-2.00743,0.370633,-20.7923,28.8955,-13.673,2.1976,0,0,0,0,0,0,0,0
